4 D 8 A F 1 G 7 C 9 5 B E 6 2 3
3 5 G E 4 8 9 D 7 2 6 1 B C F A
C 9 6 F A B 2 3 E 4 G D 5 8 7 1
7 2 1 B 6 E 5 C 8 A F 3 D 9 G 4
A 6 B G 3 C E 9 4 5 D 2 F 7 1 8
D 7 C 9 5 4 A F 1 B E 8 6 G 3 2
E F 2 8 7 D B 1 A G 3 6 9 4 5 C
5 3 4 1 8 G 6 2 F C 7 9 A E B D
B 8 D 6 2 F 7 E 9 3 A 5 C 1 4 G
9 G E 7 B 5 1 4 D F 8 C 3 2 A 6
F C 5 3 G A D 6 2 1 4 7 8 B 9 E
2 1 A 4 9 3 C 8 6 E B G 7 5 D F
6 B F 5 1 7 8 G 3 D C 4 2 A E 9
G E 7 C D 9 4 A B 6 2 F 1 3 8 5
1 4 3 2 E 6 F B 5 8 9 A G D C 7
8 A 9 D C 2 3 5 G 7 1 E 4 F 6 B
